dataAbscissa/Depth	Age	dataOrdinate/Value
131.34	25816.5	-1.71
131.39	25820.4	-1.628
131.44	25824.3	-1.398
131.47	25826.7	-1.434
131.49	25828.3	-1.409
131.54	25832.2	-1.566
131.59	25836.1	-1.371
131.64	25840.1	-1.355
131.69	25844	-1.609
131.72	25846.3	-1.843
131.74	25847.9	-1.94
131.79	25851.8	-1.273
131.82	25854.2	-1.673
131.84	25855.8	-1.349
131.91	25861.3	-1.606
131.96	25865.2	-1.626
131.97	25866	-1.94
132.01	25869.2	-1.565
132.06	25873.1	-1.362
132.11	25877	-1.56
132.16	25881	-1.545
132.21	25884.9	-1.722
132.26	25888.8	-1.506
132.31	25892.7	-1.581
132.36	25896.7	-1.529
132.41	25900.6	-1.681
132.46	25904.5	-1.488
132.51	25908.5	-1.297
132.53	25910.1	-1.6
132.56	25912.4	-1.437
132.61	25916.3	-1.565
132.66	25920.3	-1.425
132.71	25924.2	-1.436
132.76	25928.1	-1.366
132.81	25932.1	-1.343
132.86	25936	-1.351
132.91	25939.9	-1.354
132.96	25943.9	-1.314
133.01	25947.8	-1.409
133.03	25949.4	-1.66
133.06	25951.7	-1.483
133.11	25955.7	-1.4
133.16	25959.6	-1.63
133.21	25963.5	-1.652
133.26	25967.5	-1.797
133.31	25971.4	-1.557
133.41	25979.3	-1.572
133.46	25983.2	-1.638
133.51	25987.1	-1.714
133.53	25988.7	-1.91
133.56	25991.1	-1.555
133.61	25995	-1.815
133.66	25998.9	-1.73
133.71	26002.9	-1.885
133.76	26006.8	-1.47
133.81	26010.7	-1.825
133.86	26014.7	-1.654
133.91	26018.6	-1.56
133.96	26022.5	-1.516
134.01	26026.5	-1.695
134.03	26028	-1.697
134.06	26030.4	-1.454
134.11	26034.3	-1.588
134.16	26038.3	-1.383
134.21	26042.2	-1.594
134.26	26046.1	-1.727
134.31	26050.1	-1.446
134.36	26054	-1.877
134.41	26057.9	-1.858
134.46	26061.9	-1.63
134.51	26065.8	-1.465
134.53	26067.4	-2.143
134.56	26069.7	-1.493
134.61	26073.6	-1.681
134.66	26077.6	-1.543
134.71	26081.5	-1.781
134.76	26085.4	-1.776
134.81	26089.4	-1.791
134.86	26093.3	-1.575
134.91	26097.2	-1.159
134.96	26101.2	-1.45
135.01	26105.1	-1.678
135.03	26106.7	-1.7
135.06	26109	-1.622
135.11	26113	-1.66
135.16	26116.9	-1.667
135.21	26120.8	-1.735
135.26	26124.8	-1.452
135.31	26128.7	-1.833
135.36	26132.6	-1.971
135.41	26136.6	-1.746
135.46	26140.5	-1.617
135.51	26144.4	-1.801
135.56	26148.4	-1.813
135.61	26152.3	-1.73
135.66	26156.2	-1.94
135.68	26157.8	-1.938
135.71	26160.2	-1.635
135.76	26164.1	-1.95
135.81	26168	-1.753
135.91	26175.9	-1.949
135.96	26179.8	-1.82
136.01	26183.8	-2.004
136.06	26187.7	-1.535
136.11	26191.6	-1.581
136.16	26195.6	-1.469
136.21	26199.5	-2.11
136.26	26203.4	-1.735
136.31	26207.4	-1.664
136.36	26211.3	-1.825
136.41	26215.2	-1.788
136.46	26219.2	-1.605
136.51	26223.1	-1.663
136.56	26227	-1.625
136.61	26231	-2.019
136.68	26236.5	-1.976
136.71	26238.8	-1.862
136.76	26242.8	-1.919
136.81	26246.7	-1.712
136.86	26250.6	-1.916
136.91	26254.5	-1.853
136.96	26258.5	-1.718
137.01	26262.4	-1.463
137.06	26266.3	-1.765
137.11	26270.3	-1.27
137.16	26274.2	-1.865
137.21	26278.1	-1.535
137.26	26282.1	-1.917
137.31	26286	-1.73
137.36	26289.9	-1.198
137.41	26293.9	-1.516
137.46	26297.8	-1.338
137.51	26301.7	-1.423
